@relation nursery

@attribute parents-usual REAL
@attribute parents-pretentious REAL
@attribute parents-great_pret REAL

@attribute has_nurs-proper REAL
@attribute has_nurs-less_proper REAL
@attribute has_nurs-improper REAL
@attribute has_nurs-critical REAL
@attribute has_nurs-very_crit REAL

@attribute form-complete REAL
@attribute form-completed REAL
@attribute form-incomplete REAL
@attribute form-foster REAL

@attribute children-1 REAL
@attribute children-2 REAL
@attribute children-3 REAL
@attribute children-more REAL

@attribute housing-convenient REAL
@attribute housing-less_conv REAL
@attribute housing-critical REAL

@attribute finance-convenient REAL
@attribute finance-inconv REAL

@attribute social-nonprob REAL
@attribute social-slightly_prob REAL
@attribute social-problematic REAL

@attribute health-recommended REAL
@attribute health-priority REAL
@attribute health-not_recom REAL

@attribute Class {0,1,2,3,4}

@data
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,3
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,3
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,3
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,3
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,3
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,3
